Date,AAPL,JPM,AMZN,GOOGL,NSRGY,^GSPC
2022/4/5,172.2686615,122.8451691,164.0549927,139.9220428,122.2679443,4525.120117
2022/4/6,169.0901489,121.1408005,158.7559967,135.8982849,121.060463,4481.149902
2022/4/7,169.3951874,120.7722931,157.7845001,135.2419128,122.0835953,4500.209961
2022/4/8,167.3778839,122.9833755,154.460495,132.6533051,121.75177,4488.279785
2022/4/11,163.1070709,122.5319366,151.121994,128.2105408,124.8963623,4412.529785
2022/4/12,164.9866333,121.1868362,150.7875061,127.1068115,123.6698456,4397.450195
2022/4/13,167.6829681,117.2805786,155.5410004,129.2759399,124.7831268,4446.589844
2022/4/14,162.6544189,116.1934509,151.7064972,126.1270065,123.6792755,4392.589844
2022/4/18,162.4379425,118.3492889,152.7850037,127.0689926,123.0282822,4391.689941
2022/4/19,164.7307892,120.7999115,158.1154938,129.3903961,121.2168198,4462.209961
2022/4/20,164.5634918,121.2237244,153.9980011,127.4307556,121.3111725,4459.450195
2022/4/21,163.7664032,120.283989,148.2960052,124.2206039,120.4054489,4393.660156
2022/4/22,159.2102203,116.8291473,144.3500061,119.0662384,122.499939,4271.779785
2022/4/25,160.2828369,116.7922821,146.0740051,122.4883881,124.8020096,4296.120117
2022/4/26,154.2998047,113.3374329,139.3910065,118.085434,120.6507416,4175.200195
2022/4/27,154.0734863,111.8633728,138.1670074,113.7506638,121.8772507,4183.959961
2022/4/28,161.0307159,113.6322479,144.5964966,117.9585419,122.4716339,4287.5
2022/4/29,155.1362305,109.9655075,124.2815018,113.5665436,121.3677826,4131.930176
2022/5/2,155.44133,110.9697189,124.5,116.0282745,120.952652,4155.379883
2022/5/3,156.9370728,113.3466644,124.2535019,116.7756958,120.3394012,4175.47998
2022/5/4,163.3728027,117.0963135,125.9284973,121.6792526,120.7639618,4300.169922
2022/5/5,154.2702789,114.1665955,116.4069977,115.951149,119.3110199,4146.870117
2022/5/6,154.999527,113.9823532,114.7724991,115.195755,117.7448654,4123.339844
2022/5/9,149.8552094,112.2687378,108.7890015,111.9756546,114.2823334,3991.23999
2022/5/10,152.2696838,109.5324936,108.8590012,113.8506851,113.9521179,4001.050049
2022/5/11,144.375824,108.8415375,105.3720016,113.0619583,114.3766861,3935.179932
2022/5/12,140.492981,108.7493973,106.9304962,112.3070679,114.3106384,3930.080078
2022/5/13,144.9770355,109.7167587,113.0550003,115.4983063,115.59375,4023.889893
2022/5/16,143.4297791,108.9521027,110.8105011,113.900444,116.0654831,4008.01001
2022/5/17,147.0761261,112.5635529,115.3684998,115.9188004,116.2258835,4088.850098
2022/5/18,138.7782135,110.6380463,107.1125031,111.3670578,112.8482666,3923.679932
2022/5/19,135.3585052,108.9981537,107.3190002,109.8587723,110.2725906,3900.790039
2022/5/20,135.595047,108.1044922,107.5910034,108.3897934,109.9140778,3901.360107
2022/5/23,141.0349884,114.7930908,107.5569992,110.9575119,111.3575821,3973.75
2022/5/24,138.3248901,116.414566,104.0999985,105.4657745,113.2067795,3941.47998
2022/5/25,138.4825592,117.2252884,106.7750015,105.3015518,111.9330902,3978.72998
2022/5/26,141.695282,119.2521439,111.0774994,107.2796097,112.9331741,4057.840088
2022/5/27,147.4703217,120.9381256,115.1464996,111.782074,114.7068939,4158.240234
